ID,BCS_stage,Year,Parity,Age_at_first_mating,Litter_size,BCS
31414,BCS-W,2006,2,2,4,2.5
31414,BCS-Wp,2006,2,2,4,
31415,BCS-Wp,2005,1,2,2,
31430,BCS-W,2005,2,1,3,2.3
31430,BCS-Wp,2005,2,1,3,2.3
31438,BCS-Sb,2006,3,1,4,
31438,BCS-W,2006,3,1,4,2.9
31438,BCS-Wp,2006,3,1,4,
31442,BCS-W,2006,3,1,1,3.3
31442,BCS-Wp,2006,3,1,1,
31443,BCS-W,2006,2,2,2,2.9
31443,BCS-Wp,2006,2,2,2,
31446,BCS-W,2005,2,1,4,2.2
31446,BCS-Wp,2005,2,1,4,2.4
31447,BCS-W,2006,2,2,4,2.6
31447,BCS-Wp,2006,2,2,4,
31448,BCS-Wp,2005,1,2,1,2.5
31454,BCS-W,2006,2,2,2,2.7
31454,BCS-Wp,2006,2,2,2,
31458,BCS-W,2006,2,2,4,2.5
31458,BCS-Wp,2006,2,2,4,
31466,BCS-W,2005,2,1,2,2.8
31466,BCS-Wp,2005,2,1,2,
31471,BCS-W,2006,3,1,4,2.7
31471,BCS-Wp,2006,3,1,4,2.7
31473,BCS-Sb,2006,3,1,4,
31473,BCS-W,2006,3,1,4,2.3
31473,BCS-Wp,2006,3,1,4,2.5
31474,BCS-W,2005,2,1,4,2.2
31474,BCS-Wp,2005,2,1,4,
31479,BCS-Sb,2006,3,1,4,
31479,BCS-W,2006,3,1,4,2.6
31479,BCS-Wp,2006,3,1,4,
31494,BCS-Wp,2005,1,2,4,
31500,BCS-W,2006,3,1,4,2.7
31500,BCS-Wp,2006,3,1,4,
31504,BCS-W,2005,2,1,3,2.4
31504,BCS-Wp,2005,2,1,3,
31520,BCS-W,2006,2,2,4,2.7
31520,BCS-Wp,2006,2,2,4,
31526,BCS-Wp,2005,1,2,2,
31534,BCS-Sb,2007,3,2,4,
31534,BCS-W,2007,3,2,4,2.2
31534,BCS-Wp,2007,3,2,4,
31538,BCS-W,2006,2,2,4,2.6
31538,BCS-Wp,2006,2,2,4,
31539,BCS-Wp,2006,2,2,4,
31540,BCS-Wp,2006,2,2,4,
31549,BCS-Wp,2005,1,2,2,
31563,BCS-Wp,2005,1,2,3,
31565,BCS-Wp,2005,1,2,4,2.4
31567,BCS-Wp,2005,1,2,3,
31575,BCS-Sb,2007,3,2,1,
31575,BCS-W,2007,3,2,1,2.6
31575,BCS-Wp,2007,3,2,1,
31578,BCS-W,2006,3,1,4,2.3
31578,BCS-Wp,2006,3,1,4,
31580,BCS-W,2006,3,1,2,3.0
31580,BCS-Wp,2006,3,1,2,
31583,BCS-Sb,2006,3,1,4,
31583,BCS-W,2006,3,1,4,2.7
31583,BCS-Wp,2006,3,1,4,
31585,BCS-Wp,2005,1,2,3,
31587,BCS-W,2006,3,1,3,2.3
31587,BCS-Wp,2006,3,1,3,
31591,BCS-Wp,2005,2,1,2,
31598,BCS-W,2005,2,1,4,2.2
31598,BCS-Wp,2005,2,1,4,2.3
31600,BCS-Sb,2006,3,1,2,
31600,BCS-W,2006,3,1,2,3.0
31600,BCS-Wp,2006,3,1,2,
31604,BCS-Wp,2005,1,2,1,2.4
31608,BCS-Wp,2005,2,1,4,2.8
31610,BCS-W,2006,3,1,4,2.6
31610,BCS-Wp,2006,3,1,4,2.8
31625,BCS-W,2006,2,2,3,2.4
31625,BCS-Wp,2006,2,2,3,
31630,BCS-W,2006,3,1,2,2.7
31630,BCS-Wp,2006,3,1,2,
31633,BCS-W,2005,2,1,2,2.3
31633,BCS-Wp,2005,2,1,2,2.4
31640,BCS-W,2006,2,2,3,2.7
31640,BCS-Wp,2006,2,2,3,
31641,BCS-W,2006,3,1,4,2.7
31641,BCS-Wp,2006,3,1,4,2.8
31642,BCS-Sb,2006,3,1,3,
31642,BCS-W,2006,3,1,3,3.0
31642,BCS-Wp,2006,3,1,3,
31649,BCS-W,2006,2,2,1,3.0
31649,BCS-Wp,2006,2,2,1,3.1
31651,BCS-Wp,2006,2,2,4,
31653,BCS-W,2006,2,2,4,2.4
31653,BCS-Wp,2006,2,2,4,
31655,BCS-Wp,2005,1,2,1,
31657,BCS-Sb,2006,3,1,4,
31657,BCS-W,2006,3,1,4,2.7
31657,BCS-Wp,2006,3,1,4,
31658,BCS-Wp,2005,2,1,3,
31660,BCS-Sb,2007,3,2,4,
31660,BCS-W,2007,3,2,4,2.4
31660,BCS-Wp,2007,3,2,4,
31662,BCS-W,2006,3,1,3,2.4
31662,BCS-Wp,2006,3,1,3,
31665,BCS-W,2005,2,1,1,2.5
31665,BCS-Wp,2005,2,1,1,2.8
31676,BCS-Wp,2005,1,2,2,
31677,BCS-Wp,2005,2,1,1,2.5
31679,BCS-W,2006,2,2,3,2.6
31679,BCS-Wp,2006,2,2,3,
31689,BCS-W,2005,2,1,1,2.6
31689,BCS-Wp,2005,2,1,1,
31691,BCS-Wp,2005,1,2,1,
31696,BCS-Wp,2005,1,2,3,
31697,BCS-Sb,2006,3,1,3,
31697,BCS-W,2006,3,1,3,2.8
31697,BCS-Wp,2006,3,1,3,2.8
31706,BCS-Sb,2007,3,2,4,
31706,BCS-W,2007,3,2,4,2.5
31706,BCS-Wp,2007,3,2,4,
31710,BCS-Wp,2005,1,2,1,2.4
31714,BCS-W,2006,2,2,4,2.6
31714,BCS-Wp,2006,2,2,4,
41002,BCS-W,2006,2,1,1,2.8
41002,BCS-Wp,2006,2,1,1,
41006,BCS-Wp,2006,1,2,4,
41007,BCS-Wp,2006,1,2,4,
41008,BCS-Sb,2007,3,1,4,
41008,BCS-W,2007,3,1,4,2.8
41008,BCS-Wp,2007,3,1,4,2.9
41016,BCS-Sb,2007,3,1,2,
41016,BCS-W,2007,3,1,2,2.9
41016,BCS-Wp,2007,3,1,2,
41019,BCS-W,2006,2,1,1,2.8
41019,BCS-Wp,2006,2,1,1,
41027,BCS-W,2006,2,1,2,2.5
41027,BCS-Wp,2006,2,1,2,
41030,BCS-Wp,2005,1,1,2,2.6
41036,BCS-W,2006,2,1,3,2.7
41036,BCS-Wp,2006,2,1,3,
41039,BCS-Wp,2006,1,2,4,
41044,BCS-W,2006,2,1,1,2.8
41044,BCS-Wp,2006,2,1,1,
41047,BCS-W,2006,2,1,2,2.8
41047,BCS-Wp,2006,2,1,2,
41054,BCS-W,2006,2,1,4,2.6
41054,BCS-Wp,2006,2,1,4,
41058,BCS-Sb,2007,3,1,4,
41058,BCS-W,2007,3,1,4,2.8
41058,BCS-Wp,2007,3,1,4,2.9
41070,BCS-Wp,2006,1,2,2,
41074,BCS-W,2006,2,1,2,2.5
41074,BCS-Wp,2006,2,1,2,
41077,BCS-W,2006,2,1,2,2.6
41077,BCS-Wp,2006,2,1,2,
41078,BCS-W,2006,2,1,4,2.6
41078,BCS-Wp,2006,2,1,4,
41079,BCS-Wp,2006,2,1,3,
41113,BCS-Sb,2007,3,1,3,
41113,BCS-W,2007,3,1,3,2.7
41113,BCS-Wp,2007,3,1,3,
41118,BCS-W,2006,2,1,1,2.9
41118,BCS-Wp,2006,2,1,1,
41119,BCS-W,2006,2,1,3,2.7
41119,BCS-Wp,2006,2,1,3,
41124,BCS-W,2006,2,1,2,2.7
41124,BCS-Wp,2006,2,1,2,
41128,BCS-W,2006,2,1,3,2.6
41128,BCS-Wp,2006,2,1,3,
41129,BCS-W,2006,2,1,4,2.8
41129,BCS-Wp,2006,2,1,4,
41131,BCS-W,2006,2,1,3,2.7
41131,BCS-Wp,2006,2,1,3,
41132,BCS-Sb,2007,3,1,3,
41132,BCS-W,2007,3,1,3,2.5
41132,BCS-Wp,2007,3,1,3,2.6
41133,BCS-W,2007,2,2,1,2.6
