"Ewe.ID","line","Parity","dbeg","dend","bcsinit"
21483,116,1,131,165,3.0365283367673
21483,116,2,360,553,3.36725491164319
21483,116,3,NA,NA,0
21490,117,1,6,310,3.01390943537246
21490,117,2,NA,NA,0
21490,117,3,NA,NA,0
21492,118,1,34,217,2.95097240826242
21492,118,2,412,588,3.00508956068818
21492,118,3,NA,NA,0
21496,119,1,22,203,2.78089500161791
21496,119,2,392,514,2.81754572153892
21496,119,3,NA,NA,0
21498,120,1,95,236,2.78892958172564
21498,120,2,NA,NA,0
21498,120,3,NA,NA,0
21500,121,1,76,227,2.89177198984056
21500,121,2,387,587,2.87827344156927
21500,121,3,784,936,2.87590230101061
21502,122,1,0,341,3.09309317273514
21502,122,2,NA,NA,0
21502,122,3,687,812,2.8743855247929
21508,123,1,34,193,3.01468803528016
21508,123,2,440,562,3.22814409664487
21508,123,3,720,931,3.17373635710783
21510,124,1,65,206,2.93711091724287
21510,124,2,382,670,2.89616554988599
21510,124,3,NA,NA,0
21511,125,1,67,209,2.92061791808882
21511,125,2,394,569,3.13007800484026
21511,125,3,790,913,3.10902028402802
21513,126,1,43,170,2.64213728328171
21513,126,2,366,547,2.73929966185243
21513,126,3,NA,NA,0
21516,127,1,46,183,2.98484292378033
21516,127,2,259,353,2.62379907169816
21516,127,3,600,838,3.121902042971
21539,128,1,40,186,2.58206405307755
21539,128,2,375,560,2.56622997523026
21539,128,3,NA,NA,0
21544,129,1,14,310,2.74262929714937
21544,129,2,445,546,2.54843368083717
21544,129,3,720,978,2.67235451046606
21545,130,1,52,222,2.7083949572708
21545,130,2,497,628,2.88875542447738
21545,130,3,813,1003,2.87783730011288
21547,131,1,50,193,2.50413405213923
21547,131,2,408,572,2.80815340373716
21547,131,3,NA,NA,0
21551,132,1,59,215,2.8166530113082
21551,132,2,418,586,2.88686106323047
21551,132,3,NA,NA,0
21559,133,1,91,218,3.21538713903232
21559,133,2,451,584,3.27219274245746
21559,133,3,NA,NA,0
31004,134,1,0,211,3.09161597640457
31004,134,2,360,538,2.67541913403786
31004,134,3,NA,NA,0
31014,135,1,33,227,2.87943256801393
31014,135,2,399,670,2.55788830266143
31014,135,3,NA,NA,0
31067,136,1,0,116,3.20163499942055
31067,136,2,380,539,3.02393872629723
31067,136,3,NA,NA,0
