"Ewe";"BW.time";"BCS.time";"Year";"Parity";"Age_mating";"LS";"state.num";"day";"BW";"BCS";"BCSm";"BCS1"
51150;"BW-Sb";"BCS-Sb";2007;2;1;"2";"230";590;59600;2.54605444545777;3.5;NA
51152;"BW-W";"BCS-W";2007;1;2;"2";"250";250;54100;2.4;3.5;2.4
51153;"BW-Sa";"BCS-Sa";2007;2;1;"2";"190";550;69700;2.9;4;2.9
51153;"BW-Sb";"BCS-Sb";2007;2;1;"2";"230";590;68700;2.81503999246236;4;NA
51160;"BW-Sa";"BCS-Sa";2007;2;1;"3";"190";550;64200;2.4;3.5;2.4
51160;"BW-Sb";"BCS-Sb";2007;2;1;"3";"230";590;62800;2.299108225467;3.5;NA
51169;"BW-Sa";"BCS-Sa";2007;2;1;"4";"190";550;66600;2.4;3.5;2.4
51169;"BW-Sb";"BCS-Sb";2007;2;1;"4";"230";590;65900;2.39532684006792;3.5;NA
51170;"BW-Sa";"BCS-Sa";2007;2;1;"3";"190";550;67300;2.9;3.5;2.9
51170;"BW-Sb";"BCS-Sb";2007;2;1;"3";"230";590;61500;2.66541231257346;3.5;NA
51171;"BW-Sa";"BCS-Sa";2007;2;1;"3";"190";550;61800;2.7;3.5;2.7
51171;"BW-Sb";"BCS-Sb";2007;2;1;"3";"230";590;58300;2.44614782152997;3.5;NA
51173;"BW-W";"BCS-W";2007;2;1;"3";"250";610;64900;2.6;3.5;2.6
51179;"BW-Sa";"BCS-Sa";2007;2;1;"2";"190";550;58700;2.9;3.5;2.9
51179;"BW-Sb";"BCS-Sb";2007;2;1;"2";"230";590;61500;2.8342740616957;3.5;NA
51180;"BW-Pb";"BCS-Pb";2009;3;2;"3";"80";800;72000;3;3.5;3
51180;"BW-L";"BCS-L";2009;3;2;"3";"160";880;64100;2.8;3.5;2.8
51180;"BW-Sa";"BCS-Sa";2009;3;2;"3";"190";910;70400;2.3;3.5;2.3
51185;"BW-W";"BCS-W";2007;2;1;"3";"250";610;60800;2.7;3.5;2.7
51189;"BW-Sa";"BCS-Sa";2008;2;2;"2";"190";550;58400;2.5;4;2.5
