"ID","ID2","ID3","kb1","kb2","kb3","kp1","kp2","kp3"
41016,41016,41016,0.00450473735521906,0.00355192447258434,0.00522151264905948,0.0041430933622863,0.00738086576198608,0.0026692572874453
41019,41019,41019,0.0029509829093456,0.00298392707361387,NA,0.00340040087485538,0.00292232441217124,NA
41027,41027,41027,0.00293326114000388,0.00326487069494931,NA,0.0034215579069966,0.00299174654455478,NA
41030,41030,41030,0.00236653707037534,NA,NA,0.00457883421363669,NA,NA
41036,41036,41036,0.00241718045914435,0.00288430582739892,NA,0.00569064489754192,0.00452454396121943,NA
41039,41039,41039,0.00212700668481208,NA,NA,0.00796334896308669,NA,NA
41044,41044,41044,0.00145345232293414,0.00210282430041953,NA,0.00667008042749343,0.00647167733759141,NA
41047,41047,41047,0.00242900458558445,0.00228006312082041,NA,0.004783971135071,0.00443496112344775,NA
41054,41054,41054,0.00454575690796246,0.00270518054814645,NA,0.00406258971136939,0.0041073048190573,NA
41058,41058,41058,0.00522306149544863,0.00530868163539416,0.00392850814824375,0.00478421287526651,0.00498311592605593,0.00294146535534479
41070,41070,41070,0.00470581100749665,NA,NA,0.00297638425558122,NA,NA
41074,41074,41074,0.00305251154063982,0.00288649005275652,NA,0.00377334301181673,0.00328997805968963,NA
41077,41077,41077,0.00290010113992285,0.00352947025645586,NA,0.0042637254997151,0.00344300366680706,NA
41078,41078,41078,0.0022254428951149,0.00223125750846095,NA,0.00305823424244232,0.00300801776167293,NA
41079,41079,41079,NA,0.00363669379899947,NA,NA,0.00287964900296472,NA
41113,41113,41113,0.00296660176743494,0.00397514497511619,0.00401534166326622,0.00818981989537898,0.00779913098584306,0.0068041425723973
41118,41118,41118,0.00221699485843382,0.00287017764633206,NA,0.00534192781693771,0.00429946111026305,NA
41119,41119,41119,0.00273760160972302,0.00257894507837386,NA,0.00471532032829921,0.00388884125702302,NA
41124,41124,41124,0.00279778446983751,0.00293547592431755,NA,0.00371678555672822,0.00290777433770798,NA
41128,41128,41128,0.00227162554896684,0.00365804689537932,NA,0.00446721074399955,0.00438497491296107,NA
41129,41129,41129,0.00348462293711514,0.00374117674282212,NA,0.00550761093250199,0.00471320922511137,NA
41131,41131,41131,0.00234261462832335,0.00233514507416775,NA,0.00301095240104275,0.00304954265447578,NA
41132,41132,41132,0.00338055271743205,0.00336270571078247,0.00318689396658898,0.00591027764406254,0.00550279852678176,0.00440739363127949
41133,41133,41133,0.00378313503636228,0.00382332735517994,NA,0.00488829455620924,0.00329257187042984,NA
41135,41135,41135,NA,0.00467744690413354,NA,NA,0.00185890371811518,NA
41143,41143,41143,0.00425185270062634,0.00281361605432914,NA,0.00532503977862067,0.00410091352752603,NA
41149,41149,41149,0.00339578921882912,0.00517586317272883,NA,0.00458745387409695,0.00265396899263026,NA
41156,41156,41156,NA,0.00376911649213044,NA,NA,0.00301113661708482,NA
41157,41157,41157,0.0033919847029187,0.00360280350180509,NA,0.00515084787938429,0.00324863374060249,NA
41161,41161,41161,0.00302370147703165,0.00284683609234523,NA,0.00440338196767506,0.00390931946327906,NA
41173,41173,41173,NA,0.00455101199433146,NA,NA,0.00573785353572511,NA
41175,41175,41175,0.00433797058867829,0.00370322108484581,0.00289179453106333,0.00532301320014301,0.00404004717458199,0.00433590955143923
41176,41176,41176,NA,0.00435095386332226,0.00217223435110836,NA,0.00374874237756555,0.00410961436806456
41181,41181,41181,0.00378702062059951,0.00294422466064952,NA,0.00295512338708535,0.00364552145055572,NA
41183,41183,41183,0.00240833722981684,0.00240964182865275,NA,0.00304325651486875,0.00300114695670323,NA
41189,41189,41189,0.00209448116733766,NA,NA,0.00299971598847494,NA,NA
41192,41192,41192,0.00348025796289295,NA,NA,0.00283727779842829,NA,NA
41193,41193,41193,0.00457660479695375,0.00356001387633473,NA,0.004147522051855,0.00379880229294269,NA
41196,41196,41196,0.00253757356106081,0.00310636832191299,NA,0.00436253381875574,0.00357000456573061,NA
41197,41197,41197,0.00417731340939344,0.00395924209062056,0.00244739301025565,0.00688731227599861,0.0060416740140718,0.00601121459413047
41199,41199,41199,0.00158434374011113,0.00481286865438492,NA,0.0104005301063537,0.00845508054636899,NA
41205,41205,41205,0.00342870461522694,NA,NA,0.00297947793193864,NA,NA
41212,41212,41212,0.00231281802423355,0.00230005174263207,NA,0.00544990765606222,0.00516045306206033,NA
41213,41213,41213,0.00173466280238946,0.00315241460680844,NA,0.00702172232748799,0.00668647268525494,NA
41218,41218,41218,NA,0.00692124010605345,NA,NA,0.0068088140201588,NA
41222,41222,41222,NA,0.00510637126296333,NA,NA,0.00517886600536482,NA
41226,41226,41226,NA,0.00389404579137666,NA,NA,0.00286146845709126,NA
41230,41230,41230,0.00260120594502329,0.00261053493024561,NA,0.0030576929582476,0.00299993483951789,NA
41234,41234,41234,0.00218247605557603,NA,NA,0.00415441047777966,NA,NA
41247,41247,41247,0.0022578304197585,0.00311333666077089,NA,0.00400784719612196,0.00290657499643861,NA
41255,41255,41255,0.00262938894318145,0.00263220987893466,NA,0.00301150954689651,0.0029989237597574,NA
41259,41259,41259,0.00256493301303219,0.00258916558361753,NA,0.00335582723364021,0.00314113681630277,NA
41264,41264,41264,0.00300599981457803,0.00313300288720694,NA,0.00545246485888088,0.00377395424732611,NA
41268,41268,41268,0.00261983673328015,0.00262203583973054,NA,0.00301817331983027,0.00299466990462771,NA
41272,41272,41272,0.0031822986573672,0.00308603197463648,NA,0.00511193572004395,0.00331059847210219,NA
41273,41273,41273,0.00302278210377836,NA,NA,0.00306395711352407,NA,NA
41274,41274,41274,0.00309700453532433,NA,NA,0.00442658719344053,NA,NA
41275,41275,41275,0.00228996968177474,0.00228245468366878,NA,0.003210730510863,0.00303936575927639,NA
41277,41277,41277,0.00277309873035183,NA,NA,0.0030237622936667,NA,NA
41278,41278,41278,0.00228751607144415,0.00228724542843378,NA,0.00594140642218183,0.00573816106503244,NA
41279,41279,41279,NA,0,NA,NA,0,NA
41292,41292,41292,0.00230120859579076,0.00217291594500156,NA,0.00362670569365067,0.00335191441390486,NA
41305,41305,41305,NA,0.00258678936595779,0.00508458046895583,NA,0.00600388365374529,0.00288991542364491
41311,41311,41311,NA,0.00205315724436568,NA,NA,0.00376889977566898,NA
41321,41321,41321,NA,0.002,NA,NA,0.003,NA
41338,41338,41338,0.00200222696822317,NA,NA,0.00409891616859955,NA,NA
41344,41344,41344,0.00426751706011521,0.00295967565634266,NA,0.00650669853172196,0.00380913106814173,NA
41359,41359,41359,0.00249859587502271,NA,NA,0.00299850121480454,NA,NA
41370,41370,41370,0.00210072795053651,0.00204092524759691,NA,0.00394922966658604,0.00390834751155243,NA
41373,41373,41373,0.002,0.002,NA,0.003,0.003,NA
41379,41379,41379,0.00215471624199823,0.00345957688013201,NA,0.00436113995187438,0.00294511485712824,NA
41386,41386,41386,0.00212547432950097,0.00211674865665582,NA,0.0031445273981701,0.00301614141050427,NA
41387,41387,41387,0.00366102130211004,0.00364235186960246,0.00293032098022657,0.00586632804860428,0.006050012838032,0.00493179342385844
41389,41389,41389,0.00310555771219014,NA,NA,0.00309409269140266,NA,NA
41390,41390,41390,NA,0.00710892662021269,NA,NA,0.00600782188633452,NA
41392,41392,41392,0.00229825115964613,0.00228227734792913,NA,0.00340628959100551,0.0030696211728525,NA
41393,41393,41393,0.00226835602226042,0.00229164077952471,NA,0.00348043317378655,0.00307201809681823,NA
41399,41399,41399,NA,0.00441395102571169,NA,NA,0.0056982086539892,NA
41407,41407,41407,0.00214655092485474,NA,NA,0.00394232605278537,NA,NA
41413,41413,41413,0.00243822815229346,0.0028311936170761,NA,0.00401283661372261,0.00335081559457398,NA
41414,41414,41414,0.00451038179771885,0.00647535252989965,0.00243806580629108,0.00419390030941519,0.0054593052095544,0.00461084508743493
41418,41418,41418,0.00328971029774271,NA,NA,0.00301572191970747,NA,NA
41432,41432,41432,NA,0.00375105473956296,NA,NA,0.0031759692043571,NA
41434,41434,41434,0.00239809886267203,0.00239427820799898,NA,0.00300839240467019,0.00302697016600305,NA
41440,41440,41440,0.00211333678895146,0.00205273107599583,NA,0.00375350045850164,0.00370392633253084,NA
41441,41441,41441,NA,0.0034799018429516,0.00329225969384096,NA,0.00377055016055631,0.00314267373849956
41444,41444,41444,0.00280610431568436,0.00263405113386366,NA,0.0088274128574757,0.00666804375110232,NA
41445,41445,41445,0.002,NA,NA,0.003,NA,NA
41446,41446,41446,NA,0.00666612536595532,NA,NA,0.00494046342279982,NA
41451,41451,41451,0.00387515790299762,0.00337561612907236,0.00332215944653645,0.00653131852845519,0.00707021599874292,0.00504398782688688
41456,41456,41456,0.00344544923988889,0.00379577907183509,0.00224864752185819,0.00525248476902896,0.0058165476383757,0.00463559673786096
41461,41461,41461,NA,0.00207823972141955,NA,NA,0.00384619400141853,NA
41464,41464,41464,0.002006878773471,0.00200025955899623,NA,0.00339008092518034,0.00339109821577742,NA
41466,41466,41466,0.00645010862044932,NA,NA,0.00618604917521366,NA,NA
41470,41470,41470,0.00258937701618562,0.00315837181720304,NA,0.00587160163739227,0.00368041888148366,NA
