"ID","i","parity","kb","kp","tb","te","BCSm","Pmax","opt"
141263,1361,3,NA,NA,NA,NA,3.5,2,0.401354650074901
141267,1362,1,0.00301958966315707,0.00419184041358875,32,260,3.5,2,0.842051696025719
141267,1362,2,0.00521339561680622,0.016485160407769,513,623,3.5,2,0.842051696025719
141267,1362,3,NA,NA,NA,NA,3.5,2,0.842051696025719
141268,1363,1,0.00523942899340054,0.00712729932527325,24,330,3.5,2,0.818534952092866
141268,1363,2,0.00100719321487026,0.00335898685561061,488,634,3.5,2,0.818534952092866
141268,1363,3,NA,NA,NA,NA,3.5,2,0.818534952092866
141273,1364,1,0.00243880971713759,0.00413063009659513,24,258,3.5,2,0.533634073947237
141273,1364,2,0.00227371719674511,0.00410424866419664,378,556,3.5,2,0.533634073947237
141273,1364,3,NA,NA,NA,NA,3.5,2,0.533634073947237
141289,1365,1,0.00683665190713358,0.00779132051707207,40,310,3.5,2,0.670656829673893
141289,1365,2,0.00230937573838112,0.00591876636248392,412,612,3.5,2,0.670656829673893
141289,1365,3,NA,NA,NA,NA,3.5,2,0.670656829673893
141297,1366,1,0.0038093465993831,0.00389195602828508,0,285,3.5,2,0.484339635852169
141297,1366,2,0.00393363068093237,0.00312587329959402,441,589,3.5,2,0.484339635852169
141297,1366,3,NA,NA,NA,NA,3.5,2,0.484339635852169
141302,1367,1,0.00459053184170707,0.00658579648115037,34,292,3.5,2,0.876305260200643
141302,1367,2,0.00300107741832131,0.00403062326726201,477,603,3.5,2,0.876305260200643
141302,1367,3,NA,NA,NA,NA,3.5,2,0.876305260200643
141303,1368,1,0.00377820072557452,0.00540917204577465,24,264,3.5,2,0.791052251665487
141303,1368,2,0.00404168803984698,0.00269275555164589,481,635,3.5,2,0.791052251665487
141303,1368,3,NA,NA,NA,NA,3.5,2,0.791052251665487
141304,1369,1,NA,NA,NA,NA,3.5,2,0.466119910725174
141304,1369,2,0.00247746419057419,0.00300258074612413,385,641,3.5,2,0.466119910725174
141304,1369,3,NA,NA,NA,NA,3.5,2,0.466119910725174
141313,1370,1,0.00311256586322362,0.00436166328065139,75,184,3.5,2,0.945178178150096
141313,1370,2,0.0033541281795594,0.00196472420958595,494,655,3.5,2,0.945178178150096
141313,1370,3,NA,NA,NA,NA,3.5,2,0.945178178150096
141318,1371,1,NA,NA,NA,NA,3.5,2,0.45013212035311
141318,1371,2,0,0.00360457493709021,388,639,3.5,2,0.45013212035311
141318,1371,3,NA,NA,NA,NA,3.5,2,0.45013212035311
141319,1372,1,NA,NA,NA,NA,3.5,2,0.39361740153346
141319,1372,2,0.002,0.003,389,642,3.5,2,0.39361740153346
141319,1372,3,NA,NA,NA,NA,3.5,2,0.39361740153346
141323,1373,1,NA,NA,NA,NA,4,2,0.958044231516988
141323,1373,2,0.00137545209034076,0.00313180333959058,390,642,4,2,0.958044231516988
141323,1373,3,NA,NA,NA,NA,4,2,0.958044231516988
141324,1374,1,0.00412812155261951,0.00508311766647105,30,253,3.5,2,0.983821779735047
141324,1374,2,0.00380936833326495,0.00324288096570747,479,628,3.5,2,0.983821779735047
141324,1374,3,NA,NA,NA,NA,3.5,2,0.983821779735047
141327,1375,1,0.00426776920907987,0.00596416878741464,20,142,3.5,2,0.732211508465129
141327,1375,2,0.00230634402986916,0.00643748166229266,360,548,3.5,2,0.732211508465129
141327,1375,3,NA,NA,NA,NA,3.5,2,0.732211508465129
141337,1376,1,0.00342542436318738,0.00398488753505548,40,293,3.5,2,0.616836944792012
141337,1376,2,0.00153002228268067,0.00453447546747015,506,646,3.5,2,0.616836944792012
141337,1376,3,NA,NA,NA,NA,3.5,2,0.616836944792012
141345,1377,1,0.00221413632591883,0.00447603668111829,28,277,3.5,2,0.664595283512169
141345,1377,2,0.00205959587253014,0.00443201547291511,472,618,3.5,2,0.664595283512169
141345,1377,3,NA,NA,NA,NA,3.5,2,0.664595283512169
141347,1378,1,0.00364103504096804,0.00411660839592623,77,209,3.5,2,0.514832295076014
141347,1378,2,0.00249952030310856,0.00411907369788799,364,556,3.5,2,0.514832295076014
141347,1378,3,NA,NA,NA,NA,3.5,2,0.514832295076014
141348,1379,1,0.00338774203219183,0.00502234301590039,38,255,3.5,2,0.857650372542275
141348,1379,2,0.00287271707058551,0.00530425168857045,400,565,3.5,2,0.857650372542275
141348,1379,3,NA,NA,NA,NA,3.5,2,0.857650372542275
141354,1380,1,NA,NA,NA,NA,3.5,2,0.304551300549687
141354,1380,2,0.00138423290677441,0.00480072201993241,383,616,3.5,2,0.304551300549687
141354,1380,3,NA,NA,NA,NA,3.5,2,0.304551300549687
141361,1381,1,0.00457565419587228,0.00595928546855724,28,173,3.5,2,0.586313707863992
141361,1381,2,0.00267849118852175,0.00507105572219718,365,578,3.5,2,0.586313707863992
141361,1381,3,NA,NA,NA,NA,3.5,2,0.586313707863992
141365,1382,1,0.00217403174104293,0.00253905717906207,64,218,3.5,2,0.261875719065028
141365,1382,2,NA,NA,NA,NA,3.5,2,0.261875719065028
141365,1382,3,NA,NA,NA,NA,3.5,2,0.261875719065028
141372,1383,1,0.00204717433679882,0.00307573211802144,35,194,3.5,2,0.775366414599585
141372,1383,2,0.0020611956835522,0.00300229578205914,522,634,3.5,2,0.775366414599585
141372,1383,3,NA,NA,NA,NA,3.5,2,0.775366414599585
141373,1384,1,0.00242898806396774,0.00414424911621837,28,279,3.5,2,0.789024914849684
141373,1384,2,0.00228054565713843,0.00372951864494472,430,544,3.5,2,0.789024914849684
141373,1384,3,NA,NA,NA,NA,3.5,2,0.789024914849684
141375,1385,1,0.00199574995444404,0.0065016647688685,28,110,3.5,2,0.809382048600464
141375,1385,2,0.00253813094797239,0.00616423438861957,411,617,3.5,2,0.809382048600464
141375,1385,3,NA,NA,NA,NA,3.5,2,0.809382048600464
141377,1386,1,NA,NA,NA,NA,3.5,2,0.740909450960332
141377,1386,2,0.00208376631685167,0.00565094801878855,385,625,3.5,2,0.740909450960332
141377,1386,3,NA,NA,NA,NA,3.5,2,0.740909450960332
141378,1387,1,0.00209845024987228,0.0035209376626241,24,232,3.5,2,0.649674413511746
141378,1387,2,0.0020681567625459,0.00352001743031192,360,642,3.5,2,0.649674413511746
141378,1387,3,NA,NA,NA,NA,3.5,2,0.649674413511746
141384,1388,1,0.00294030084954581,0.00299717344434004,30,263,3.5,2,0.891097392735907
141384,1388,2,0.00294030084954581,0.00299717344434004,534,690,3.5,2,0.891097392735907
141384,1388,3,NA,NA,NA,NA,3.5,2,0.891097392735907
141389,1389,1,0.00301733988818961,0.00366877779606284,0,297,3.5,2,0.587340186317895
141389,1389,2,0.00187342575198295,0.00419996032758724,474,589,3.5,2,0.587340186317895
141389,1389,3,NA,NA,NA,NA,3.5,2,0.587340186317895
141393,1390,1,0.00262393106023901,0.00420376953688227,20,276,3.5,2,0.825624391556374
141393,1390,2,0.00204811018664625,0.00417191413270665,448,618,3.5,2,0.825624391556374
141393,1390,3,NA,NA,NA,NA,3.5,2,0.825624391556374
141398,1391,1,0.00302175980136571,0.00397269790824639,27,253,3.5,2,0.486691240996249
141398,1391,2,0.002055787790312,0.00440680818219674,397,611,3.5,2,0.486691240996249
141398,1391,3,NA,NA,NA,NA,3.5,2,0.486691240996249
141407,1392,1,0.00371789395147433,0.00241383356051809,28,253,3.5,2,0.829884351228885
141407,1392,2,0.00171661314659191,0.00511969906636857,515,635,3.5,2,0.829884351228885
141407,1392,3,NA,NA,NA,NA,3.5,2,0.829884351228885
141408,1393,1,NA,NA,NA,NA,4,2,0.697781128839616
141408,1393,2,0.00133815672875566,0.00305121268259548,384,632,4,2,0.697781128839616
141408,1393,3,NA,NA,NA,NA,4,2,0.697781128839616
141409,1394,1,0.00350369551203275,0.00514247734431184,29,247,3.5,2,0.4848760160293
141409,1394,2,0.00327982737117254,0.0037255619221279,416,644,3.5,2,0.4848760160293
141409,1394,3,NA,NA,NA,NA,3.5,2,0.4848760160293
141433,1395,1,0.00405523085270016,0.00431817917894593,45,199,3.5,2,0.717196283396882
141433,1395,2,0.00250761322038133,0.00392450900277126,445,622,3.5,2,0.717196283396882
141433,1395,3,NA,NA,NA,NA,3.5,2,0.717196283396882
141454,1396,1,NA,NA,NA,NA,3.5,2,0.415574133647585
141454,1396,2,0.00251079257020886,0.0048574379973099,397,599,3.5,2,0.415574133647585
141454,1396,3,NA,NA,NA,NA,3.5,2,0.415574133647585
141482,1397,1,0.00354504907929307,0.00434305730441614,25,258,3.5,2,0.787297952469409
141482,1397,2,0.00412881787095916,0.00275023704841744,536,614,3.5,2,0.787297952469409
141482,1397,3,NA,NA,NA,NA,3.5,2,0.787297952469409
141486,1398,1,0.00378703959467623,0.00731998905356435,31,168,3.5,2,0.818944997540443
141486,1398,2,0.00324627738087339,0.0074032841955776,435,598,3.5,2,0.818944997540443
141486,1398,3,NA,NA,NA,NA,3.5,2,0.818944997540443
141495,1399,1,0.00352150230154129,0.00539507458567394,36,166,3.5,2,0.934340276415349
141495,1399,2,0.00374346396868194,0.00340167702870469,454,610,3.5,2,0.934340276415349
141495,1399,3,NA,NA,NA,NA,3.5,2,0.934340276415349
141496,1400,1,0.00405555482265294,0.00737523612527882,23,162,3.5,2,0.743023388492974
141496,1400,2,0.002872647669486,0.00631749387838496,437,609,3.5,2,0.743023388492974
141496,1400,3,NA,NA,NA,NA,3.5,2,0.743023388492974
141497,1401,1,0.00217004939409975,0.00374624448522079,38,164,3.5,2,0.715954971780864
141497,1401,2,0.00191004712527553,0.00405443298387836,432,565,3.5,2,0.715954971780864
141497,1401,3,NA,NA,NA,NA,3.5,2,0.715954971780864
141502,1402,1,0.00323460508392754,0.00493532935713782,32,163,3.5,2,0.582018462341852
141502,1402,2,0.00255069709032637,0.00394860871395489,445,624,3.5,2,0.582018462341852
141502,1402,3,NA,NA,NA,NA,3.5,2,0.582018462341852
141504,1403,1,0.00200460499063355,0.00360706534140821,38,310,3.5,2,0.449403469063819
141504,1403,2,NA,NA,NA,NA,3.5,2,0.449403469063819
141504,1403,3,NA,NA,NA,NA,3.5,2,0.449403469063819
141511,1404,1,0.00234877936512736,0.00302954521888692,0,249,3.5,2,0.780789203178591
141511,1404,2,0.00234531975578088,0.00300782477458223,360,622,3.5,2,0.780789203178591
141511,1404,3,NA,NA,NA,NA,3.5,2,0.780789203178591
141517,1405,1,NA,NA,NA,NA,3.5,2,0.400092449540779
141517,1405,2,0,0.0021282819787479,443,578,3.5,2,0.400092449540779
141517,1405,3,NA,NA,NA,NA,3.5,2,0.400092449540779
141519,1406,1,0.00199969174464883,0.00315366529255931,24,280,3.5,2,0.275537549967457
141519,1406,2,NA,NA,NA,NA,3.5,2,0.275537549967457
141519,1406,3,NA,NA,NA,NA,3.5,2,0.275537549967457
141525,1407,1,NA,NA,NA,NA,3.5,2,0.750240887358786
141525,1407,2,0.00234973679369952,0.00757352760488801,508,634,3.5,2,0.750240887358786
141525,1407,3,NA,NA,NA,NA,3.5,2,0.750240887358786
141530,1408,1,0.00219719597649607,0.00608134255786656,28,119,3.5,2,0.824010703766313
141530,1408,2,0.00273250874887234,0.0053764609786156,441,670,3.5,2,0.824010703766313
141530,1408,3,NA,NA,NA,NA,3.5,2,0.824010703766313
141531,1409,1,0.00244542851560501,0.00325270814224235,21,267,3.5,2,0.382447598729339
141531,1409,2,0.00216715429855514,0.00319758558723292,444,645,3.5,2,0.382447598729339
141531,1409,3,NA,NA,NA,NA,3.5,2,0.382447598729339
141540,1410,1,0.00200000000001779,0.00300000000001777,47,250,3.5,2,0.546324828721705
141540,1410,2,0.00199999999999996,0.00300000000001777,468,618,3.5,2,0.546324828721705
141540,1410,3,NA,NA,NA,NA,3.5,2,0.546324828721705
141542,1411,1,0.00267486819370018,0.00341439747332198,34,266,3.5,2,0.673835755194541
141542,1411,2,0.00212238508529524,0.00348352234295891,404,558,3.5,2,0.673835755194541
141542,1411,3,NA,NA,NA,NA,3.5,2,0.673835755194541
141548,1412,1,0.0040164618093916,0.00560383615116285,41,186,3.5,2,0.942971341035626
141548,1412,2,0.00449353193950892,0.00285213671935652,449,603,3.5,2,0.942971341035626
141548,1412,3,NA,NA,NA,NA,3.5,2,0.942971341035626
151001,1413,1,0.00397961204242132,0.00317597621472575,3,271,3.5,2,0.337613427659992
151001,1413,2,NA,NA,NA,NA,3.5,2,0.337613427659992
151001,1413,3,NA,NA,NA,NA,3.5,2,0.337613427659992
151007,1414,1,0.00414338100346032,0.00198316311580434,16,290,3.5,2,0.667258151109925
151007,1414,2,NA,NA,NA,NA,3.5,2,0.667258151109925
151007,1414,3,NA,NA,NA,NA,3.5,2,0.667258151109925
151008,1415,1,0.00329271724982167,0.00461393729281038,40,256,3.5,2,0.703696134441045
151008,1415,2,NA,NA,NA,NA,3.5,2,0.703696134441045
151008,1415,3,NA,NA,NA,NA,3.5,2,0.703696134441045
151012,1416,1,0.00203436805774319,0.00367127459200026,49,260,3.5,2,0.410049341252758
151012,1416,2,NA,NA,NA,NA,3.5,2,0.410049341252758
151012,1416,3,NA,NA,NA,NA,3.5,2,0.410049341252758
151026,1417,1,0.00389426911523251,0.00524827878273138,0,254,3.5,2,0.309993942189739
151026,1417,2,NA,NA,NA,NA,3.5,2,0.309993942189739
151026,1417,3,NA,NA,NA,NA,3.5,2,0.309993942189739
151030,1418,1,0.00391400248817367,0.00797410271532724,0,231,3.5,2,0.273761947589295
151030,1418,2,NA,NA,NA,NA,3.5,2,0.273761947589295
151030,1418,3,NA,NA,NA,NA,3.5,2,0.273761947589295
151033,1419,1,0.00233286705286643,0.00614028952458444,69,234,3.5,2,0.55402157352943
151033,1419,2,NA,NA,NA,NA,3.5,2,0.55402157352943
151033,1419,3,NA,NA,NA,NA,3.5,2,0.55402157352943
151036,1420,1,0.00692362301699315,0.00336576834595318,16,281,3.5,2,0.683273463613624
151036,1420,2,NA,NA,NA,NA,3.5,2,0.683273463613624
151036,1420,3,NA,NA,NA,NA,3.5,2,0.683273463613624
151043,1421,1,0.00373714728758891,0.00367269855929228,0,223,3.5,2,0.37448973525517
