"ID","kb1","kb2","kb3","kp1","kp2","kp3","tb1","tb2","tb3","te1","te2","te3","res","Group","BCSm"
81183,0.00210847926261438,0.00204851401261799,NA,0.00300807573656875,0.00302833556809545,NA,0,442,NA,185,575,NA,0.340440487682155,"G12",3.5
81184,NA,0.0020233918153765,NA,NA,0.0029999296839237,NA,NA,471,NA,NA,637,NA,0.348467444108925,"G2",3.5
81186,NA,0.00276767477096193,NA,NA,0.003070678129867,NA,NA,391,NA,NA,597,NA,0.19533593867252,"G2",3.5
81190,NA,0.00435411330407506,0.00315680681944119,NA,0.00555427929578145,0.00419520322043357,NA,444,720,NA,593,999,0.564924979899079,"G23",3.5
81191,0.00425257818096488,0.00283740431833366,0.00312772687884647,0.00516339061202776,0.00700224113273365,0.00501076715440597,0,354,772,232,501,964,0.776383314581719,"G123",3.5
81194,0.00440333418391798,0.00360867676943463,0.0046161789807363,0.00643437172556785,0.00574047161524494,0.00351579613776684,49,404,849,234,573,995,0.687322454656847,"G123",3.5
81195,NA,0.00301106085914753,0.00398324980314955,NA,0.00419993519518182,0.00346613176646404,NA,442,701,NA,567,977,0.683577549312141,"G23",3.5
81207,NA,0.00333510853721511,0.00245346775202357,NA,0.00693518919482904,0.00562884549867475,NA,360,765,NA,570,960,0.82762227432403,"G23",4
81209,0.00271426083806433,0.00254554854613668,NA,0.00413469771482212,0.00357919971136246,NA,82,441,NA,187,554,NA,0.492443925635863,"G12",3.5
81211,0.00311034295375983,0.00202655200428636,NA,0.00203239820903477,0.00455326253022263,NA,23,526,NA,263,645,NA,0.421310025892417,"G12",3.5
81212,0.00204703164552031,NA,NA,0.00299985862230851,NA,NA,0,NA,NA,195,NA,NA,0.296656402359131,"G1",3.5
81214,0.00143603858081995,NA,NA,0.00285645598416856,NA,NA,17,NA,NA,208,NA,NA,0.306292663017516,"G1",3.5
81218,0.00258929472573539,0.00243390323249476,NA,0.00303113957725737,0.00306714318397706,NA,0,444,NA,303,570,NA,0.45360229513659,"G12",3.5
81222,0.00289428912707579,0.00218896204865445,NA,0.00424634549903168,0.00392491845255432,NA,19,497,NA,209,637,NA,0.392065680516747,"G12",3.5
81224,0.00548200346965578,0.00499922171502632,0.0039072929597942,0.00507081272236855,0.00792765049895821,0.00415989075471786,118,440,753,299,574,958,0.609119281736335,"G123",3.5
81225,NA,0.00413199129027165,0.00374855136341231,NA,0.00751648599427157,0.00456096203388295,NA,387,770,NA,559,956,0.56762705568964,"G23",3.5
81234,0.00313248401967552,0.00250944563714956,NA,0.00369956724682189,0.00362426825136666,NA,18,424,NA,271,670,NA,0.43162213274015,"G12",3.5
81235,0.00335976679639422,0.0042405673231204,0.00405184422071407,0.00562405580006463,0.00907551952254212,0.00643198351673294,13,429,720,242,597,966,0.686679267058436,"G123",3.5
81237,0.00288213674035093,0.00257781123787672,NA,0.00336335756134743,0.0044895113436016,NA,0,435,NA,228,566,NA,0.427190481186367,"G12",3.5
81242,0.00274281846621462,0.0028530445745867,NA,0.00450797647291215,0.00318192685764989,NA,0,424,NA,250,546,NA,0.669724764706804,"G12",3.5
81247,0.00462309352998418,0.00321024864551342,0.00302064874733223,0.00710107210237157,0.00662133536019518,0.006039756278492,71,359,748,232,503,932,0.739024880607048,"G123",3.5
81250,0.00275489181288156,0.00270777250814542,NA,0.00299774003206626,0.00304484714096429,NA,0,484,NA,293,670,NA,0.504015115049806,"G12",3.5
81254,0.00307883323261064,0.00277881659213402,NA,0.00317649075920868,0.0032272114793737,NA,31,352,NA,210,690,NA,0.510418121763084,"G12",3.5
